feature,importance
uses_https,0.8797493
subdomain_depth,0.046742868
domain_trust_score,0.01949115
suspicious_keyword_flag,0.009242889
tld_length,0.006983971
is_slug_like,0.0047959993
SuspiciousTLD,0.0030008818
num_at,0.0029907085
num_equal,0.0027229453
num_dots,0.0025754166
TyposquattingScore,0.0022413097
domain_entropy,0.0017733157
CharacterSubstitutions,0.0015670502
num_slashes,0.0014525305
hostname_length,0.0014310251
num_special_char,0.0013557962
digit_ratio,0.0012886262
url_length,0.0012494989
num_hyphens,0.0011204465
contains_ip,0.0010734684
ExcessiveHyphens,0.0009071362
Combosquatting,0.00081443076
path_entropy,0.00080750964
path_length,0.0008000863
hostname_ratio,0.0007718058
NumberLetterMixing,0.00068103214
url_entropy,0.00061490166
path_ratio,0.0005459525
num_percent,0.0004358629
letter_ratio,0.00039702436
LowVowelRatio,0.00037510516
KnownTyposquatting,0.0
HomographChars,0.0
RepeatedCharacters,0.0
